Date,Category,Amount,Note,type,Payment mode,To payment mode,Tags
2025-01-23 20:29,Dining and eatouts,35.00,Idli,Expense,SBI bank,,
2025-01-23 20:29,Dining and eatouts,70.00,Badamshake,Expense,ICICI BANK,,
2025-01-23 20:29,Dining and eatouts,120.00,Lolypop,Expense,ICICI BANK,,
2025-01-23 20:28,Dining and eatouts,80.00,Chinese,Expense,SBI bank,,
2025-01-23 20:28,Vegetables & fruits,20.00,Bhaji pala,Expense,SBI bank,,
2025-01-23 20:28,Vegetables & fruits,25.00,Bhaji pala,Expense,SBI bank,,
2025-01-23 20:28,Vegetables & fruits,30.00,Bhaji pala,Expense,SBI bank,,
2025-01-23 20:28,Kirana ,40.00,Janata bazaar,Expense,SBI bank,,
2025-01-23 20:27,Vegetables & fruits,485.00,Bhaji pala,Expense,UPI LITE,,
2025-01-23 20:26,Transfer,500.00,,Transfer,SBI bank,UPI LITE,
2025-01-23 20:26,Others,229.00,Tb tablets,Expense,ICICI BANK,,
2025-01-21 11:22,Bills and Utilities,588.82,wifi bill,Expense,ICICI BANK,,
2025-01-21 11:20,Recieved from Others,500.00,Tb recieved,Income,ICICI BANK,,
2025-01-21 11:20,Car,2000.00,Petrol,Expense,ICICI BANK,,
2025-01-21 11:20,Dining and eatouts,50.00,Badam shake,Expense,SBI bank,,
2025-01-21 11:19,Kirana ,20.00,Paste,Expense,SBI bank,,
2025-01-21 11:19,Tablets & Medical,2560.89,Kothari second visit,Expense,ICICI BANK,,
2025-01-21 11:19,Dining and eatouts,40.00,Usacha ras,Expense,SBI bank,,
2025-01-20 10:22,Clothing ,2250.00,Mulchand,Expense,ICICI BANK,,
2025-01-20 10:21,Recieved from Others,400.00,For selling bhande rack,Income,SBI bank,,
2025-01-20 10:20,Dining and eatouts,60.00,Paan,Expense,SBI bank,,
2025-01-20 10:20,Dining and eatouts,565.00,Pakwaan,Expense,ICICI BANK,,
2025-01-20 10:20,Dining and eatouts,40.00,Bhaje,Expense,SBI bank,,
2025-01-20 10:19,Snacks and Food,40.00,Coldrink,Expense,SBI bank,,
2025-01-20 10:19,Dining and eatouts,221.00,Biryani,Expense,ICICI BANK,,
2025-01-20 10:19,Dining and eatouts,158.00,Jeera rice,Expense,ICICI BANK,,
2025-01-18 16:00,Interest & Dividents,6.00,From google pay,Income,SBI bank,,
2025-01-18 15:59,Recieved from Others,1500.00,Tb recieved,Income,ICICI BANK,,
2025-01-18 14:42,Kirana ,161.00,Janata food bazaar,Expense,ICICI BANK,,
2025-01-18 14:41,Bike,300.00,Petrol,Expense,ICICI BANK,,
2025-01-18 14:41,Dining and eatouts,27.00,Pohe,Expense,SBI bank,,
2025-01-18 14:41,Snacks and Food,40.00,Biscuit,Expense,SBI bank,,
2025-01-17 15:38,Dining and eatouts,100.00,Bhajya,Expense,SBI bank,,
2025-01-17 15:38,Dining and eatouts,100.00,Pulao,Expense,SBI bank,,
2025-01-17 10:19,Dining and eatouts,100.00,Pulao,Expense,SBI bank,,
2025-01-17 10:19,Dining and eatouts,60.00,Aloo paratha,Expense,SBI bank,,
2025-01-17 10:18,Snacks and Food,50.00,Biscuits,Expense,SBI bank,,
2025-01-17 10:18,Kirana ,48.00,Dudh dahi,Expense,SBI bank,,
2025-01-17 10:13,Vegetables & fruits,70.00,Bhaji pala,Expense,SBI bank,,
2025-01-16 13:25,Dining and eatouts,50.00,Dosa,Expense,SBI bank,,
2025-01-16 13:24,Vegetables & fruits,40.00,Peru,Expense,SBI bank,,
2025-01-16 13:24,Dining and eatouts,84.00,Polya,Expense,SBI bank,,
2025-01-16 10:28,Bills and Utilities,200.90,Mummy recharge,Expense,SBI bank,,
2025-01-16 10:26,Dining and eatouts,90.00,Chinese,Expense,SBI bank,,
2025-01-16 10:22,Recieved from Others,90.00,From google pay,Income,SBI bank,,
2025-01-16 10:22,Zomato and Swiggy,220.00,Pakwaan,Expense,ICICI BANK,,
2025-01-16 10:22,Dining and eatouts,50.00,Paan,Expense,SBI bank,,
2025-01-16 10:22,Dining and eatouts,20.00,Masala dudh,Expense,SBI bank,,
2025-01-16 10:21,Zomato and Swiggy,50.00,Pakwaan,Expense,SBI bank,,
2025-01-16 10:21,Dining and eatouts,100.00,Anda rice,Expense,SBI bank,,
2025-01-14 09:51,Dining and eatouts,90.00,Manchurian,Expense,ICICI BANK,,
2025-01-14 09:50,Snacks and Food,60.00,Motichur laddoo,Expense,SBI bank,,
2025-01-13 10:36,Investments,500.00,Into ppf,Expense,ICICI BANK,,
2025-01-12 22:45,Vegetables & fruits,65.00,Sankrant samaan,Expense,SBI bank,,
2025-01-12 22:45,Clothing ,420.00,Mobile covers,Expense,SBI bank,,
2025-01-12 22:44,Festival & Flowers ,80.00,For darling,Expense,SBI bank,,
2025-01-12 19:30,Home,1000.00,bbdaily,Expense,ICICI BANK,,
2025-01-12 15:24,Others,208.00,Pan d,Expense,SBI bank,,
2025-01-12 15:24,Kirana ,741.00,,Expense,ICICI BANK,,
2025-01-12 13:41,Car,280.00,Car wash,Expense,SBI bank,,
2025-01-12 10:42,Investments,20842.64,Lic premium,Expense,ICICI BANK,,
2025-01-12 10:42,Dining and eatouts,25.00,Paan,Expense,SBI bank,,
2025-01-12 10:41,Vegetables & fruits,70.00,Santri,Expense,SBI bank,,
2025-01-12 10:41,Dining and eatouts,20.00,Bisleri,Expense,SBI bank,,
2025-01-12 10:40,Dining and eatouts,90.00,Pavbhaji,Expense,UPI LITE,,
2025-01-12 10:40,Dining and eatouts,100.00,Noodles,Expense,SBI bank,,
2025-01-12 10:40,Clothing ,1530.00,Sankrant saadi,Expense,ICICI BANK,,
2025-01-12 10:40,Others,45.00,,Expense,UPI LITE,,
2025-01-11 13:36,Zomato and Swiggy,286.00,Dal khichdi,Expense,SBI bank,,
2025-01-10 13:01,EMIs ,6238.00,CAR EMI,Expense,ICICI BANK,,
2025-01-10 12:33,Snacks and Food,40.00,Biscuits,Expense,SBI bank,,
2025-01-10 12:32,Kirana ,233.00,Janata bazaar,Expense,SBI bank,,
2025-01-10 12:32,Others,180.00,Akt 3,Expense,SBI bank,,
2025-01-09 12:20,Others,3000.00,ITR filing fee,Expense,SBI bank,,
2025-01-09 11:29,Bills and Utilities,1710.00,Nook lightbill,Expense,SBI bank,,
2025-01-09 07:58,Zomato and Swiggy,284.00,,Expense,SBI bank,,
2025-01-09 07:58,Tablets & Medical,800.00,Dr kothari,Expense,ICICI BANK,,
2025-01-09 07:57,Others,661.00,Dr kothari,Expense,ICICI BANK,,
2025-01-09 07:57,Tablets & Medical,500.00,Dr jaankar,Expense,SBI bank,,
2025-01-09 07:57,Tablets & Medical,4.00,Report printing,Expense,UPI LITE,,
2025-01-09 07:56,Others,53.00,Ulti golya,Expense,UPI LITE,,
2025-01-09 07:56,Others,72.00,Julaab golya,Expense,UPI LITE,,
2025-01-09 07:56,Others,12.00,Chaha,Expense,UPI LITE,,
2025-01-09 07:55,Kirana ,105.00,Janata food bazaar,Expense,UPI LITE,,
2025-01-09 07:55,Vegetables & fruits,40.00,Bhaji pala,Expense,UPI LITE,,
2025-01-09 07:55,Kirana ,75.00,Dalan,Expense,UPI LITE,,
2025-01-07 18:56,Vegetables & fruits,110.00,Bhaji pala,Expense,SBI bank,,
2025-01-07 18:56,Kirana ,706.00,Gahu,Expense,SBI bank,,
2025-01-07 16:52,Transfer,500.00,,Transfer,SBI bank,UPI LITE,
2025-01-07 16:52,Dining and eatouts,20.00,Ras,Expense,SBI bank,,
2025-01-07 09:35,Dining and eatouts,70.00,Juice,Expense,SBI bank,,
2025-01-07 09:34,Dining and eatouts,70.00,Juice,Expense,SBI bank,,
2025-01-07 08:03,Kirana ,75.00,Eggs,Expense,SBI bank,,
2025-01-07 08:03,Items in home,20.00,Cement,Expense,SBI bank,,
2025-01-07 08:02,Items in home,60.00,Rose plant,Expense,SBI bank,,
2025-01-07 08:02,Vegetables & fruits,210.00,dalimb,Expense,SBI bank,,
2025-01-06 13:52,Dining and eatouts,70.00,Egg rice,Expense,SBI bank,,
2025-01-06 13:52,Dining and eatouts,60.00,Aloo paratha,Expense,SBI bank,,
2025-01-06 13:05,Transfer,720.00,Recieved from aditya and mahesh,Transfer,SBI bank,ICICI BANK,
2025-01-06 13:00,EMIs ,859.00,Home loan insurance 6,Expense,ICICI BANK,,
2025-01-05 20:23,Kirana ,90.00,Kirana,Expense,SBI bank,,
2025-01-05 20:23,Items in home,165.00,Kundi,Expense,SBI bank,,
2025-01-05 20:23,Adhoc ,5000.00,Driving school,Expense,ICICI BANK,,
2025-01-05 20:22,Kirana ,111.00,Badisop,Expense,SBI bank,,
2025-01-05 20:22,Dining and eatouts,25.00,Bhakri,Expense,SBI bank,,
2025-01-05 13:35,Latur Rent,5300.00,From kiraydar 2,Income,SBI bank,,
2025-01-05 12:28,EMIs ,2000.00,Backup bhandewali,Expense,Cash,,
2025-01-05 12:27,Tablets & Medical,9500.00,CT scan,Expense,ICICI BANK,,
2025-01-05 12:27,EMIs ,58735.00,Home loan EMI 6,Expense,ICICI BANK,,
2025-01-05 12:26,Others,501.00,Raghvendra swami mathh,Expense,ICICI BANK,,
2025-01-05 12:25,Others,1700.00,Raghvendra swami mathh,Expense,ICICI BANK,,
2025-01-05 12:25,Others,12.00,,Expense,SBI bank,,
2025-01-05 12:25,Snacks and Food,10.00,Parle g,Expense,SBI bank,,
2025-01-05 12:25,Vegetables & fruits,80.00,Bor and keli,Expense,SBI bank,,
2025-01-05 12:25,Festival & Flowers ,100.00,Pappa haar,Expense,SBI bank,,
2025-01-05 12:24,Dining and eatouts,40.00,Iceb,Expense,SBI bank,,
2025-01-05 12:24,Dining and eatouts,70.00,Paan,Expense,SBI bank,,
2025-01-05 12:24,Dining and eatouts,280.00,Kale farms,Expense,SBI bank,,
2025-01-05 12:24,Dining and eatouts,380.00,Beer,Expense,SBI bank,,
2025-01-05 12:24,Others,12.00,Chaha,Expense,SBI bank,,
2025-01-05 12:24,Dining and eatouts,20.00,Bisleri,Expense,SBI bank,,
2025-01-05 12:23,Dining and eatouts,40.00,Masala dudh,Expense,SBI bank,,
2025-01-05 12:23,Snacks and Food,60.00,Farsaan,Expense,SBI bank,,
2025-01-05 12:23,Dining and eatouts,50.00,Bhakri,Expense,SBI bank,,
2025-01-03 09:58,Home,805.60,Hp gas,Expense,ICICI BANK,,
2025-01-03 09:57,Dining and eatouts,135.00,Cold cofee,Expense,ICICI BANK,,
2025-01-03 09:57,Zomato and Swiggy,291.00,Dal khichdi,Expense,ICICI BANK,,
2025-01-03 09:57,Snacks and Food,350.00,Cake,Expense,SBI bank,,
2025-01-03 09:56,Kirana ,86.00,Dudh dahi,Expense,SBI bank,,
2025-01-03 09:55,Home,130.00,Paper cup and milk,Expense,SBI bank,,
2025-01-03 09:55,Dining and eatouts,20.00,Ras,Expense,SBI bank,,
2025-01-03 09:55,Vegetables & fruits,50.00,Naralpaani,Expense,SBI bank,,
2025-01-03 09:55,Vegetables & fruits,50.00,Anjeer,Expense,SBI bank,,
2025-01-03 09:55,Vegetables & fruits,190.00,Bhaji,Expense,SBI bank,,
2025-01-02 11:08,Car,1200.00,Fuel,Expense,ICICI BANK,,
2025-01-02 09:41,Transfer,2000.00,Atm withdrawals,Transfer,ICICI BANK,Cash,
2025-01-02 09:40,Investments,5000.00,SIP,Expense,ICICI BANK,,
2025-01-02 09:35,Recieved from Others,530.50,From chinmay for chicken thali,Income,SBI bank,,
2025-01-02 09:35,Others,45.00,Zandu balm,Expense,SBI bank,,
2025-01-02 09:35,Dining and eatouts,75.00,Paan,Expense,SBI bank,,
2025-01-02 09:34,Dining and eatouts,1061.00,Chicken thali,Expense,ICICI BANK,,
2025-01-02 09:34,Clothing ,1210.00,Bhaiya shirt,Expense,SBI bank,,
2025-01-01 18:35,Latur Rent,9000.00,Kiraydar 1,Income,SBI bank,,
2025-01-01 16:23,Zomato and Swiggy,515.00,Dal khichdi,Expense,ICICI BANK,,
2025-01-01 16:23,Salary,218976.00,Exusia Salary,Income,ICICI BANK,,
